俪,45,36.58
芽,44,11.38
斋,44,9.16
字,44,1.80
讯,44,4.14
沪,44,11.34
潞,44,28.61
翘,44,13.58
炀,43,30.57
冈,43,7.19
执,43,2.69
口,43,1.34
旖,43,40.19
囡,43,38.34
场,43,1.41
要,43,0.65
橙,43,19.07
箭,43,4.97
粟,43,12.45
舸,42,41.51
茉,42,24.83
镐,42,27.29
镭,42,27.26
早,42,1.94
回,42,1.19
围,42,2.20
期,42,1.41
箐,42,100.00
乡,42,3.05
纶,42,18.66
演,42,2.53
兢,41,14.18
分,41,0.88
抒,41,13.79
卜,41,6.70
荪,41,24.38
盘,41,3.39
极,41,1.67
横,41,4.28
资,41,1.39
焯,40,58.04
持,40,1.63
荆,40,9.59
厦,40,7.93
琅,40,18.47
著,40,2.63
镛,40,56.85
薪,40,7.47
皮,40,2.53
盖,40,3.36
霈,40,89.44
圩,40,27.57
垂,40,5.17
稚,40,10.68
浙,40,7.28
渔,40,5.82
渤,40,20.73
滕,40,22.45
兮,39,10.96
旎,39,42.10
阶,39,2.52
晚,39,2.24
险,39,2.32
坛,39,5.87
韫,39,57.01
堤,39,9.01
姑,39,3.14
客,39,2.12
翁,39,7.13
濂,39,27.65
速,38,2.16
舫,38,29.95
戴,38,3.82
猷,38,39.48
莘,38,29.35
落,38,1.92
昉,38,100.00
杲,38,37.60
瞻,38,12.31
离,38,1.74
汐,38,25.46
绩,38,4.88
佼,38,22.87
循,38,5.58
耐,37,4.35
莽,37,10.25
变,37,1.26
支,37,1.75
域,37,2.70
栗,37,9.56
境,37,2.07
骧,37,29.64
嫒,37,63.68
次,37,1.17
谟,37,13.89
赋,37,5.52
与,37,0.93
炉,36,6.28
邑,36,13.40
舍,36,4.04
敖,36,17.46
虞,36,11.79
曰,36,5.10
飙,36,23.33
头,36,1.02
筝,36,16.18
峪,36,26.70
淘,36,8.80
不,36,0.36
羡,36,10.25
肯,35,2.65
愈,35,3.89
共,35,1.47
兹,35,5.48
拯,35,10.28
半,35,1.87
珲,35,54.87
瑄,35,100.00
圻,35,39.12
枭,35,20.95
寻,35,2.89
沧,35,12.31
弯,35,5.06
佛,35,2.44
过,35,0.69
